aug_k,aug_path,aug_rms_reproj_px,aug_roll_rad,aug_x_m,aug_y_m,aug_z_m,augtype,base,best_patch_index,best_patch_score_rms_reproj_px,chosen_patch_box,delta_w_angle_deg,delta_x_m,delta_y_m,delta_z_m,idx,orig_path,orig_rms_reproj_px,orig_roll_rad,orig_x_m,orig_y_m,orig_z_m,patch_mode
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_translation_1.jpg,352.95286936602594,3.14058845484381,-8.155857374202256,-8.331911971047592,-21.243368315285235,translation,moire,,,,35.831141946251805,-12.070013461912538,-2.728320955720708,-8.844856509448004,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_translation_2.jpg,356.5763808626099,9536.746269430061,5.333949348246421,-6.914227422548521,-15.666564829290238,translation,moire,,,,1.342460606178306,1.4197932605361387,-1.3106364072216365,-3.2680530234530067,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_translation_3.jpg,357.72240013395594,-0.45004842215268154,4.088677411903554,-6.261046973721122,-14.432693582075153,translation,moire,,,,1.701817983827221,0.1745213241932717,-0.6574559583942374,-2.034181776237922,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_blackbox_1.jpg,325.91712416276715,-2.5110168443497938,-0.517098890396529,8.179067948770605e-05,-0.028758443977249082,blackbox,gt,,,,52.21739624459325,1.7328490731745052,2.1681848709817557,2.2608819968385143,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_blackbox_2.jpg,358.1986422815969,0.0,5.12885557481307,-5.1288555851668765,-12.18250194715198,blackbox,gt,,,,59.984674541414975,7.378803538384104,-2.9607525048646086,-9.892861506336217,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_blackbox_3.jpg,325.91712416276715,-2.5110168443497938,-0.517098890396529,8.179067948770605e-05,-0.028758443977249082,blackbox,gt,,,,52.21739624459325,1.7328490731745052,2.1681848709817557,2.2608819968385143,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_rotation_1.jpg,358.72203549364457,-0.5256089930774867,5.226480345568791,-3.044203317460189,-7.729343570779519,rotation,gt,,,,70.74377801156808,7.476428309139825,-0.876100237157921,-5.439703129963755,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_rotation_2.jpg,359.96132432207685,-18.564229222072967,-5.292431543632658,-0.39715868072360344,-5.61815082726722,rotation,gt,,,,31.109952097870757,-3.0424835800616234,1.7709443995786645,-3.3285103864514567,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_rotation_3.jpg,353.69790120630995,1.8539193693320961,1.1043295754194087,-4.756998400074195,-4.892778405461162,rotation,gt,,,,44.7069785019834,3.354277538990443,-2.5888953197719276,-2.603137964645399,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0304_gt_translation_1.jpg,359.3881665957878,0.8809104831108896,3.5510032207426265,-1.17155141706591,-3.0866036715203755,translation,gt,,,,85.0590377359999,5.800951184313661,0.9965516632363578,-0.7969632307046122,0304,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0304_gt.jpg,350.31094819036014,2.5078572913860024,-2.249947963571034,-2.168103080302268,-2.2896404408157633,False
